央视,#genre#
CCTV-11,http://120.41.125.130:8888/rtp/239.61.2.21:8120
CCTV-12,http://120.41.125.130:8888/rtp/239.61.2.177:9050
CCTV-13,http://120.41.125.130:8888/rtp/239.61.2.23:8132
CCTV-14,http://120.41.125.130:8888/rtp/239.61.2.178:9056
CCTV-15,http://120.41.125.130:8888/rtp/239.61.2.25:8144
CGTN,http://120.41.125.130:8888/rtp/239.61.2.19:8108
CCTV-17,http://120.41.125.130:8888/rtp/239.61.3.9:9572
CHC动作电影,http://120.41.125.130:8888/rtp/239.61.3.16:9616
CETV-1,http://120.41.125.130:8888/rtp/239.61.2.167:8990
CETV-2,http://120.41.125.130:8888/rtp/239.61.3.6:9554
CETV-4,http://120.41.125.130:8888/rtp/239.61.3.15:9608
中国天气,http://120.41.125.130:8888/rtp/239.61.2.64:8378
发现之旅,http://120.41.125.130:8888/rtp/239.61.3.74:9962
CCTV-1,http://171.116.15.2:8085/rtp/226.0.2.153:9136
CCTV-2,http://171.116.15.2:8085/rtp/226.0.2.154:9144
CCTV-3,http://171.116.15.2:8085/rtp/226.0.2.208:9576
CCTV-4,http://171.116.15.2:8085/rtp/226.0.2.156:9160
CCTV-5,http://171.116.15.2:8085/rtp/226.0.2.209:9584
CCTV-6,http://171.116.15.2:8085/rtp/226.0.2.210:9592
CCTV-7,http://171.116.15.2:8085/rtp/226.0.2.159:9184
CCTV-8,http://171.116.15.2:8085/rtp/226.0.2.211:9600
CCTV-9,http://171.116.15.2:8085/rtp/226.0.2.161:9200
CCTV-10,http://171.116.15.2:8085/rtp/226.0.2.162:9208
CCTV-12,http://171.116.15.2:8085/rtp/226.0.2.164:9224
CCTV-13,http://171.116.15.2:8085/rtp/226.0.2.165:9232
CCTV-14,http://171.116.15.2:8085/rtp/226.0.2.166:9240
CCTV-5+,http://171.116.15.2:8085/rtp/226.0.2.168:9256
CCTV-16,http://171.116.15.2:8085/rtp/226.0.2.169:9264
CCTV-17,http://171.116.15.2:8085/rtp/226.0.2.170:9272
CCTV-1,http://171.116.15.2:8085/rtp/226.0.2.16:8040
CCTV-1,http://171.116.15.2:8085/rtp/226.0.2.18:8056
CCTV-2,http://171.116.15.2:8085/rtp/226.0.2.19:8064
CCTV-3,http://171.116.15.2:8085/rtp/226.0.2.20:8072
CCTV-4,http://171.116.15.2:8085/rtp/226.0.2.21:8080
CCTV-5,http://171.116.15.2:8085/rtp/226.0.2.22:8088
CCTV-6,http://171.116.15.2:8085/rtp/226.0.2.23:8096
CCTV-7,http://171.116.15.2:8085/rtp/226.0.2.24:8104
CCTV-8,http://171.116.15.2:8085/rtp/226.0.2.25:8112
CCTV-9,http://171.116.15.2:8085/rtp/226.0.2.26:8120
CCTV-10,http://171.116.15.2:8085/rtp/226.0.2.27:8128
CCTV-11,http://171.116.15.2:8085/rtp/226.0.2.28:8136
CCTV-12,http://171.116.15.2:8085/rtp/226.0.2.29:8144
CCTV-13,http://171.116.15.2:8085/rtp/226.0.2.30:8152
CCTV-14,http://171.116.15.2:8085/rtp/226.0.2.31:8160
CCTV-15,http://171.116.15.2:8085/rtp/226.0.2.32:8168
CCTV-17,http://171.116.15.2:8085/rtp/226.0.2.207:9568
CETV-1,http://171.116.15.2:8085/rtp/226.0.2.68:8456
CETV-2,http://171.116.15.2:8085/rtp/226.0.2.69:8464
CETV-4,http://171.116.15.2:8085/rtp/226.0.2.70:8472
CHC家庭影院,http://171.116.15.2:8085/rtp/226.0.2.240:9820
央视台球,http://171.116.15.2:8085/rtp/226.0.2.216:9640
央视高网,http://171.116.15.2:8085/rtp/226.0.2.217:9648
电视指南,http://171.116.15.2:8085/rtp/226.0.2.218:9656
央视精品,http://171.116.15.2:8085/rtp/226.0.2.219:9664
风云音乐,http://171.116.15.2:8085/rtp/226.0.2.220:9672
第一剧场,http://171.116.15.2:8085/rtp/226.0.2.221:9680
世界地理,http://171.116.15.2:8085/rtp/226.0.2.222:9688
兵器科技,http://171.116.15.2:8085/rtp/226.0.2.223:9696
怀旧剧场,http://171.116.15.2:8085/rtp/226.0.2.224:9704
风云足球,http://171.116.15.2:8085/rtp/226.0.2.225:9712
女性时尚,http://171.116.15.2:8085/rtp/226.0.2.226:9720
风云剧场,http://171.116.15.2:8085/rtp/226.0.2.227:9728
CHC高清电影,http://171.116.15.2:8085/rtp/226.0.2.93:8004
CHC动作电影,http://171.116.15.2:8085/rtp/226.0.2.94:8012
CETV早期教育,http://171.116.15.2:8085/rtp/226.0.2.99:8704
CETV-1,http://171.116.15.2:8085/rtp/226.0.2.181:9360
中国天气,http://171.116.15.2:8085/rtp/226.0.2.103:8736
老故事,http://171.116.15.2:8085/rtp/226.0.2.112:8808
CCTV-1,http://61.240.228.5:8889/udp/228.1.1.1:6001
CCTV-2,http://61.240.228.5:8889/udp/228.1.1.2:6002
CCTV-3,http://61.240.228.5:8889/udp/228.1.1.3:6003
CCTV-4,http://61.240.228.5:8889/udp/228.1.1.40:6040
CCTV-5,http://61.240.228.5:8889/udp/228.1.1.5:6005
CCTV-6,http://61.240.228.5:8889/udp/228.1.1.6:6006
CCTV-7,http://61.240.228.5:8889/udp/228.1.1.118:6118
CCTV-8,http://61.240.228.5:8889/udp/228.1.1.8:6008
CCTV-9,http://61.240.228.5:8889/udp/228.1.1.9:6009
CCTV-10,http://61.240.228.5:8889/udp/228.1.1.10:6010
CCTV-11,http://61.240.228.5:8889/udp/228.1.1.41:6041
CCTV-12,http://61.240.228.5:8889/udp/228.1.1.11:6011
CCTV-13,http://61.240.228.5:8889/udp/228.1.1.42:6042
CCTV-14,http://61.240.228.5:8889/udp/228.1.1.12:6012
CCTV-15,http://61.240.228.5:8889/udp/228.1.1.43:6043
CCTV-16,http://61.240.228.5:8889/udp/228.1.1.110:6110
CCTV-17,http://61.240.228.5:8889/udp/228.1.1.7:6007
CCTV-5+,http://61.240.228.5:8889/udp/228.1.1.4:6004
CETV-1,http://61.240.228.5:8889/udp/228.1.1.64:6064
CETV-4,http://61.240.228.5:8889/udp/228.1.1.87:6087
CGTN,http://61.240.228.5:8889/udp/228.1.21.15:1234
CHC高清电影,http://61.240.228.5:8889/udp/228.1.1.122:6122
CHC动作电影,http://61.240.228.5:8889/udp/228.1.1.105:6105
CHC家庭影院,http://61.240.228.5:8889/udp/228.1.1.106:6106
CCTV-1,http://219.151.249.199:8888/rtp/235.254.198.51:1480
CCTV-2,http://219.151.249.199:8888/rtp/235.254.198.52:1484
CCTV-3,http://219.151.249.199:8888/rtp/235.254.198.53:1488
CCTV-4,http://219.151.249.199:8888/rtp/235.254.198.183:7980
CCTV-5,http://219.151.249.199:8888/rtp/235.254.198.54:1492
CCTV-5+,http://219.151.249.199:8888/rtp/235.254.198.122:1764
CCTV-6,http://219.151.249.199:8888/rtp/235.254.198.55:1496
CCTV-7,http://219.151.249.199:8888/rtp/235.254.198.56:1500
CCTV-8,http://219.151.249.199:8888/rtp/235.254.198.57:1504
CCTV-9,http://219.151.249.199:8888/rtp/235.254.198.58:1508
CCTV-10,http://219.151.249.199:8888/rtp/235.254.198.59:1512
CCTV-11,http://219.151.249.199:8888/rtp/235.254.198.7:1304
CCTV-12,http://219.151.249.199:8888/rtp/235.254.198.60:1516
CCTV-13,http://219.151.249.199:8888/rtp/235.254.198.9:1312
CCTV-15,http://219.151.249.199:8888/rtp/235.254.198.11:1320
CCTV-14,http://219.151.249.199:8888/rtp/235.254.198.61:1520
CCTV-1,http://219.151.249.199:8888/rtp/235.254.198.1:1280
CCTV-2,http://219.151.249.199:8888/rtp/235.254.198.2:1284
CCTV-3,http://219.151.249.199:8888/rtp/235.254.198.141:1842
CCTV-4,http://219.151.249.199:8888/rtp/235.254.198.3:1288
CCTV-5,http://219.151.249.199:8888/rtp/235.254.198.142:1846
CCTV-6,http://219.151.249.199:8888/rtp/235.254.198.143:1852
CCTV-7,http://219.151.249.199:8888/rtp/235.254.198.4:1292
CCTV-8,http://219.151.249.199:8888/rtp/235.254.198.144:1856
CCTV-9,http://219.151.249.199:8888/rtp/235.254.198.5:1296
CCTV-10,http://219.151.249.199:8888/rtp/235.254.198.6:1300
CCTV-12,http://219.151.249.199:8888/rtp/235.254.198.8:1308
CCTV-14,http://219.151.249.199:8888/rtp/235.254.198.10:1316
CCTV-4欧洲,http://106.40.103.220:8888/udp/239.29.1.144:5000
CCTV-4美洲,http://106.40.103.220:8888/udp/239.29.1.142:5000
CCTV-1,http://124.115.207.92:8081/rtp/239.112.205.59:5140
CCTV-2,http://124.115.207.92:8081/rtp/239.112.205.78:5140
CCTV-3,http://124.115.207.92:8081/rtp/239.112.205.221:5140
CCTV-4,http://124.115.207.92:8081/rtp/239.112.205.202:5140
CCTV-5,http://124.115.207.92:8081/rtp/239.112.205.222:5140
CCTV-5+,http://124.115.207.92:8081/rtp/239.111.205.13:5140
CCTV-6,http://124.115.207.92:8081/rtp/239.112.205.223:5140
CCTV-7,http://124.115.207.92:8081/rtp/239.112.205.83:5140
CCTV-8,http://124.115.207.92:8081/rtp/239.112.205.224:5140
CCTV-9,http://124.115.207.92:8081/rtp/239.112.205.85:5140
CCTV-10,http://124.115.207.92:8081/rtp/239.112.205.86:5140
CCTV-11,http://124.115.207.92:8081/rtp/239.112.205.213:5140
CCTV-12,http://124.115.207.92:8081/rtp/239.112.205.88:5140
CCTV-14,http://124.115.207.92:8081/rtp/239.112.205.91:5140
CCTV-15,http://124.115.207.92:8081/rtp/239.112.205.214:5140
CCTV-16,http://124.115.207.92:8081/rtp/239.111.205.134:5140
CCTV-17,http://124.115.207.92:8081/rtp/239.112.205.211:5140
CGTN,http://124.115.207.92:8081/rtp/239.111.205.32:5140
CHC家庭影院,http://124.115.207.92:8081/rtp/239.112.205.205:5140
CHC高清电影,http://124.115.207.92:8081/rtp/239.112.205.206:5140
CHC动作电影,http://124.115.207.92:8081/rtp/239.112.205.207:5140
第一剧场,http://124.115.207.92:8081/rtp/239.111.205.65:5140
风云剧场,http://124.115.207.92:8081/rtp/239.111.205.66:5140
怀旧剧场,http://124.115.207.92:8081/rtp/239.111.205.67:5140
风云足球,http://124.115.207.92:8081/rtp/239.111.205.68:5140
风云音乐,http://124.115.207.92:8081/rtp/239.111.205.69:5140
央视台球,http://124.115.207.92:8081/rtp/239.111.205.70:5140
世界地理,http://124.115.207.92:8081/rtp/239.111.205.71:5140
女性时尚,http://124.115.207.92:8081/rtp/239.111.205.72:5140
央视高网,http://124.115.207.92:8081/rtp/239.111.205.73:5140
兵器科技,http://124.115.207.92:8081/rtp/239.111.205.74:5140
央视精品,http://124.115.207.92:8081/rtp/239.111.205.75:5140
CETV-1,http://124.115.207.92:8081/rtp/239.109.205.47:8312
CETV-2,http://124.115.207.92:8081/rtp/239.109.205.48:8320
CETV-4,http://124.115.207.92:8081/rtp/239.109.205.49:8328
CETV-1,http://124.115.207.92:8081/rtp/239.112.205.137:5140
CETV-4,http://124.115.207.92:8081/rtp/239.111.205.169:5140
CCTV-4美洲,http://175.9.140.138:8888/udp/239.76.253.96:9000
CCTV-4欧洲,http://175.9.140.138:8888/udp/239.76.253.95:9000
CCTV-4欧洲,http://175.9.140.138:8888/udp/239.76.246.95:1234
CCTV-4美洲,http://175.9.140.138:8888/udp/239.76.246.96:1234
 CHC动作电影,http://175.9.140.138:8888/udp/239.76.245.243:1234
CHC高清电影,http://175.9.140.138:8888/udp/239.76.245.242:1234
CHC家庭影院,http://175.9.140.138:8888/udp/239.76.245.241:1234
CCTV-1,http://222.217.124.147:8088/udp/239.81.0.102:4056
CCTV-1,http://222.217.124.147:8088/udp/239.81.0.13:4056
CCTV-2,http://222.217.124.147:8088/udp/239.81.0.115:4056
CCTV-2,http://222.217.124.147:8088/udp/239.81.0.14:4056
CCTV-3,http://222.217.124.147:8088/udp/239.81.0.231:4056
CCTV-4,http://222.217.124.147:8088/udp/239.81.0.96:4056
CCTV-4,http://222.217.124.147:8088/udp/239.81.0.16:4056
CCTV-5,http://222.217.124.147:8088/udp/239.81.0.232:4056
CCTV-5+,http://222.217.124.147:8088/udp/239.81.0.101:4056
CCTV-6,http://222.217.124.147:8088/udp/239.81.0.233:4056
CCTV-7,http://222.217.124.147:8088/udp/239.81.0.116:4056
CCTV-7,http://222.217.124.147:8088/udp/239.81.0.19:4056
CCTV-8,http://222.217.124.147:8088/udp/239.81.0.234:4056
CCTV-9,http://222.217.124.147:8088/udp/239.81.0.117:4056
CCTV-9,http://222.217.124.147:8088/udp/239.81.0.21:4056
CCTV-10,http://222.217.124.147:8088/udp/239.81.0.118:4056
CCTV-10,http://222.217.124.147:8088/udp/239.81.0.22:4056
CCTV-11,http://222.217.124.147:8088/udp/239.81.0.229:4056
CCTV-11,http://222.217.124.147:8088/udp/239.81.0.23:4056
CCTV-12,http://222.217.124.147:8088/udp/239.81.0.119:4056
CCTV-12,http://222.217.124.147:8088/udp/239.81.0.24:4056
CCTV-13,http://222.217.124.147:8088/udp/239.81.0.26:4056
CCTV-13,http://222.217.124.147:8088/udp/239.81.0.206:4056
CCTV-14,http://222.217.124.147:8088/udp/239.81.0.120:4056
CCTV-14,http://222.217.124.147:8088/udp/239.81.0.25:4056
CCTV-15,http://222.217.124.147:8088/udp/239.81.0.230:4056
CCTV-15,http://222.217.124.147:8088/udp/239.81.0.27:4056
CCTV-17,http://222.217.124.147:8088/udp/239.81.0.228:4056
CCTV-17,http://222.217.124.147:8088/udp/239.81.0.227:4056
CGTN,http://222.217.124.147:8088/udp/239.81.0.28:4056
CETV-1,http://222.217.124.147:8088/udp/239.81.0.92:4056
CETV-1,http://222.217.124.147:8088/udp/239.81.0.52:4056
CETV-2,http://222.217.124.147:8088/udp/239.81.0.245:4056
CETV-4,http://222.217.124.147:8088/udp/239.81.0.246:4056
中国天气,http://222.217.124.147:8088/udp/239.81.0.63:4056
CCTV-1,http://113.65.7.195:8888/udp/239.77.1.17:5146
CCTV-1,http://113.65.7.195:8888/udp/239.77.1.144:5146
CCTV-1,http://113.65.7.195:8888/udp/239.77.0.86:5146
CCTV-1,http://113.65.7.195:8888/udp/239.77.0.129:5146
CCTV-2,http://113.65.7.195:8888/udp/239.77.1.158:5146
CCTV-2,http://113.65.7.195:8888/udp/239.253.43.17:5146
CCTV-2,http://113.65.7.195:8888/udp/239.77.0.137:5146
CCTV-3,http://113.65.7.195:8888/udp/239.77.0.169:5146
CCTV-3,http://113.65.7.195:8888/udp/239.77.0.175:5146
CCTV-4,http://113.65.7.195:8888/udp/239.77.1.163:5146
CCTV-4,http://113.65.7.195:8888/udp/239.77.1.166:5146
CCTV-4,http://113.65.7.195:8888/udp/239.77.0.78:5146
CCTV-5,http://113.65.7.195:8888/udp/239.77.0.170:5146
CCTV-5,http://113.65.7.195:8888/udp/239.77.0.177:5146
CCTV-5+,http://113.65.7.195:8888/udp/239.77.0.87:5146
CCTV-5+,http://113.65.7.195:8888/udp/239.77.1.31:5146
CCTV-5+,http://113.65.7.195:8888/udp/239.77.1.147:5146
CCTV-6,http://113.65.7.195:8888/udp/239.77.0.171:5146
CCTV-6,http://113.65.7.195:8888/udp/239.77.0.178:5146
CCTV-7,http://113.65.7.195:8888/udp/239.77.1.159:5146
CCTV-7,http://113.65.7.195:8888/udp/239.77.1.167:5146
CCTV-7,http://113.65.7.195:8888/udp/239.77.0.138:5146
CCTV-8,http://113.65.7.195:8888/udp/239.77.0.172:5146
CCTV-8,http://113.65.7.195:8888/udp/239.77.0.181:5146
CCTV-9,http://113.65.7.195:8888/udp/239.77.1.160:5146
CCTV-9,http://113.65.7.195:8888/udp/239.77.1.168:5146
CCTV-9,http://113.65.7.195:8888/udp/239.77.0.135:5146
CCTV-10,http://113.65.7.195:8888/udp/239.77.1.113:5146
CCTV-10,http://113.65.7.195:8888/udp/239.77.1.169:5146
CCTV-10,http://113.65.7.195:8888/udp/239.77.0.134:5146
CCTV-11,http://113.65.7.195:8888/udp/239.77.1.238:5146
CCTV-12,http://113.65.7.195:8888/udp/239.77.1.109:5146
CCTV-12,http://113.65.7.195:8888/udp/239.77.1.170:5146
CCTV-12,http://113.65.7.195:8888/udp/239.77.0.136:5146
CCTV-13,http://113.65.7.195:8888/udp/239.77.0.188:5146
CCTV-13,http://113.65.7.195:8888/udp/239.253.43.196:5146
CCTV-14,http://113.65.7.195:8888/udp/239.77.1.161:5146
CCTV-14,http://113.65.7.195:8888/udp/239.77.1.171:5146
CCTV-14,http://113.65.7.195:8888/udp/239.77.0.133:5146
CCTV-15,http://113.65.7.195:8888/udp/239.77.1.239:5146
CCTV-16,http://113.65.7.195:8888/udp/239.77.0.165:5146
CCTV-16,http://113.65.7.195:8888/udp/239.77.1.76:5146
CCTV-16,http://113.65.7.195:8888/udp/239.77.1.98:5146
CCTV-17,http://113.65.7.195:8888/udp/239.77.1.121:5146
CGTN,http://113.65.7.195:8888/udp/239.77.0.45:5146
CGTN,http://113.65.7.195:8888/udp/239.77.1.27:5146
CCTV-1,http://61.190.129.195:8686/rtp/238.1.78.166:7200
CCTV-2,http://61.190.129.195:8686/rtp/238.1.78.235:7752
CCTV-3,http://61.190.129.195:8686/rtp/238.1.78.170:7232
CCTV-4,http://61.190.129.195:8686/rtp/238.1.78.236:7760
CCTV-5,http://61.190.129.195:8686/rtp/238.1.78.171:7240
CCTV-5+,http://61.190.129.195:8686/rtp/238.1.78.237:7768
CCTV-6,http://61.190.129.195:8686/rtp/238.1.78.172:7248
CCTV-7,http://61.190.129.195:8686/rtp/238.1.78.239:7784
CCTV-8,http://61.190.129.195:8686/rtp/238.1.78.173:7256
CCTV-9,http://61.190.129.195:8686/rtp/238.1.78.240:7792
CCTV-10,http://61.190.129.195:8686/rtp/238.1.78.241:7800
CCTV-11,http://61.190.129.195:8686/rtp/238.1.78.206:7502
CCTV-12,http://61.190.129.195:8686/rtp/238.1.78.242:7808
CCTV-13,http://61.190.129.195:8686/rtp/238.1.79.35:4392
CCTV-14,http://61.190.129.195:8686/rtp/238.1.78.243:7816
CCTV-15,http://61.190.129.195:8686/rtp/238.1.78.222:7648
CCTV-17,http://61.190.129.195:8686/rtp/238.1.78.178:7296
CGTN,http://61.190.129.195:8686/rtp/238.1.78.50:6272
电视指南,http://61.190.129.195:8686/rtp/238.1.79.53:4560
央视精品,http://61.190.129.195:8686/rtp/238.1.79.54:4568
女性时尚,http://61.190.129.195:8686/rtp/238.1.79.55:4576
兵器科技,http://61.190.129.195:8686/rtp/238.1.79.56:4584
风云足球,http://61.190.129.195:8686/rtp/238.1.79.57:4592
世界地理,http://61.190.129.195:8686/rtp/238.1.79.60:4616
怀旧剧场,http://61.190.129.195:8686/rtp/238.1.79.61:4624
风云剧场,http://61.190.129.195:8686/rtp/238.1.79.62:4632
第一剧场,http://61.190.129.195:8686/rtp/238.1.79.63:4640
风云音乐,http://61.190.129.195:8686/rtp/238.1.79.64:4648
央视高网,http://61.190.129.195:8686/rtp/238.1.79.58:4600
央视台球,http://61.190.129.195:8686/rtp/238.1.79.59:4608
CETV-1,http://61.190.129.195:8686/rtp/238.1.78.158:7136
CETV-2,http://61.190.129.195:8686/rtp/238.1.78.106:6720
CETV-4,http://61.190.129.195:8686/rtp/238.1.78.107:6728
CCTV-1,http://58.209.253.230:8888/rtp/239.49.8.129:6000
CCTV-2,http://58.209.253.230:8888/rtp/239.49.8.130:6000
CCTV-3,http://58.209.253.230:8888/rtp/239.49.9.31:6000
CCTV-4,http://58.209.253.230:8888/rtp/239.49.8.131:6000
CCTV-5,http://58.209.253.230:8888/rtp/239.49.9.32:6000
CCTV-5+,http://58.209.253.230:8888/rtp/239.49.8.137:6000
CCTV-6,http://58.209.253.230:8888/rtp/239.49.9.33:6000
CCTV-7,http://58.209.253.230:8888/rtp/239.49.8.132:6000
CCTV-8,http://58.209.253.230:8888/rtp/239.49.9.34:6000
CCTV-9,http://58.209.253.230:8888/rtp/239.49.8.133:6000
CCTV-10,http://58.209.253.230:8888/rtp/239.49.8.134:6000
CCTV-12,http://58.209.253.230:8888/rtp/239.49.8.135:6000
CCTV-13,http://58.209.253.230:8888/rtp/239.49.9.43:6000
CCTV-14,http://58.209.253.230:8888/rtp/239.49.8.136:6000
电视指南,http://58.209.253.230:8888/rtp/239.49.9.5:6000
风云足球,http://58.209.253.230:8888/rtp/239.49.9.6:6000
央视高网,http://58.209.253.230:8888/rtp/239.49.9.7:6000
世界地理,http://58.209.253.230:8888/rtp/239.49.9.8:6000
兵器科技,http://58.209.253.230:8888/rtp/239.49.9.9:6000
风云剧场,http://58.209.253.230:8888/rtp/239.49.9.10:6000
央视精品,http://58.209.253.230:8888/rtp/239.49.9.11:6000
怀旧剧场,http://58.209.253.230:8888/rtp/239.49.9.12:6000
风云音乐,http://58.209.253.230:8888/rtp/239.49.9.13:6000
女性时尚,http://58.209.253.230:8888/rtp/239.49.9.14:6000
第一剧场,http://58.209.253.230:8888/rtp/239.49.9.15:6000
央视台球,http://58.209.253.230:8888/rtp/239.49.9.22:6000
CCTV-1,http://58.209.253.230:8888/rtp/239.49.1.1:6000
CCTV-2,http://58.209.253.230:8888/rtp/239.49.1.2:6000
CCTV-3,http://58.209.253.230:8888/rtp/239.49.1.3:6000
CCTV-4,http://58.209.253.230:8888/rtp/239.49.1.4:6000
CCTV-5,http://58.209.253.230:8888/rtp/239.49.1.5:6000
CCTV-6,http://58.209.253.230:8888/rtp/239.49.1.6:6000
CCTV-7,http://58.209.253.230:8888/rtp/239.49.1.254:6000
CCTV-8,http://58.209.253.230:8888/rtp/239.49.1.8:6000
CCTV-10,http://58.209.253.230:8888/rtp/239.49.1.10:6000
CCTV-11,http://58.209.253.230:8888/rtp/239.49.1.11:6000
CCTV-12,http://58.209.253.230:8888/rtp/239.49.1.12:6000
CCTV-13,http://58.209.253.230:8888/rtp/239.49.1.13:6000
CCTV-14,http://58.209.253.230:8888/rtp/239.49.1.14:6000
CCTV-15,http://58.209.253.230:8888/rtp/239.49.1.15:6000
CCTV-17,http://58.209.253.230:8888/rtp/239.49.1.7:6000
CGTN,http://58.209.253.230:8888/rtp/239.49.1.9:6000
CETV-1,http://58.209.253.230:8888/rtp/239.49.1.54:6000
CETV-2,http://58.209.253.230:8888/rtp/239.49.1.55:6000
CETV-4,http://58.209.253.230:8888/rtp/239.49.1.56:6000
中国天气,http://58.209.253.230:8888/rtp/239.49.1.58:6000
电视指南,http://58.209.253.230:8888/rtp/239.49.1.60:6000
风云足球,http://58.209.253.230:8888/rtp/239.49.1.61:6000
央视高网,http://58.209.253.230:8888/rtp/239.49.1.62:6000
世界地理,http://58.209.253.230:8888/rtp/239.49.1.63:6000
兵器科技,http://58.209.253.230:8888/rtp/239.49.1.64:6000
风云剧场,http://58.209.253.230:8888/rtp/239.49.1.65:6000
央视精品,http://58.209.253.230:8888/rtp/239.49.1.66:6000
怀旧剧场,http://58.209.253.230:8888/rtp/239.49.1.67:6000
风云音乐,http://58.209.253.230:8888/rtp/239.49.1.68:6000
女性时尚,http://58.209.253.230:8888/rtp/239.49.1.69:6000
CCTV-1,http://124.65.3.44:20000/rtp/239.3.1.129:8008
CCTV-2,http://124.65.3.44:20000/rtp/239.3.1.60:8084
CCTV-3,http://124.65.3.44:20000/rtp/239.3.1.172:8001
CCTV-4,http://124.65.3.44:20000/rtp/239.3.1.105:8092
